id,tag,chunk_tok,mdts_bytes,conc,lp,obj_bytes,cmds_per_obj,store_MBps,load_MBps,store_p50_ms,load_p50_ms,store_agg_MBps,load_agg_MBps,store_failed,load_failed,cycles,instructions,store_qd_busy,store_qd_p95,store_qd_max,store_lat_us,store_cmds,load_qd_busy,load_qd_p95,load_qd_max,load_lat_us,load_cmds,load_busy_frac,load_sizes
1,pre,16,262144,1,0,2097152,9,3228.2,1314.7,0.579,1.496,3199.8,1307.7,0,0,6057224537,7833523511,4.55,8,9,250.2,72,1.0,1,1,138.8,64,0.692,{"256K": 64}
2,pr-lp1,16,262144,1,1,2097152,9,3231.4,3111.5,0.579,0.664,3199.2,3078.2,0,0,5534247550,7523803631,4.6,8,9,254.3,72,4.72,8,8,351.0,64,0.874,{"256K": 64}
3,pr-lp4,16,262144,1,4,2097152,9,3101.3,3295.7,0.613,0.640,3069.9,3264.5,0,0,5519521096,7506373533,4.6,8,9,255.6,72,4.63,8,8,312.5,64,0.841,{"256K": 64}
4,pre,16,262144,4,0,2097152,9,1171.3,989.7,1.878,1.632,4325.8,3839.4,0,0,5637973409,7543301906,27.07,33,34,1421.1,288,3.19,4,4,216.1,256,0.991,{"256K": 256}
5,pr-lp1,16,262144,4,1,2097152,9,1163.9,1500.6,1.879,1.312,4252.5,5665.0,0,0,5584961155,7544502315,27.07,33,34,1423.6,288,23.12,29,31,1054.6,256,0.986,{"256K": 256}
6,pr-lp4,16,262144,4,4,2097152,9,1158.9,1384.4,1.878,1.272,4299.0,4941.4,0,0,5612164080,7537014342,26.57,32,34,1402.4,288,22.11,29,31,1159.7,256,0.989,{"256K": 256}
7,pre,16,262144,8,0,2097152,9,598.8,839.8,3.783,2.499,4355.6,6024.0,0,0,5724151773,7611117243,59.28,69,70,3126.7,576,6.26,8,8,269.1,512,0.987,{"256K": 512}
8,pr-lp1,16,262144,8,1,2097152,9,594.6,859.5,3.789,2.509,4357.2,6268.9,0,0,5691790600,7601853228,59.56,69,70,3146.3,576,50.72,60,63,2102.7,512,0.991,{"256K": 512}
9,pr-lp4,16,262144,8,4,2097152,9,594.1,869.2,3.771,2.422,4346.5,5553.4,0,0,5710933219,7609214764,59.86,69,70,3158.7,576,44.87,61,64,2103.5,512,0.993,{"256K": 512}
10,pre,16,262144,32,0,2097152,9,150.2,205.0,15.026,9.997,4396.9,6325.7,0,0,6708860926,8248419014,253.91,284,286,13402.7,2304,29.72,32,32,1224.3,2048,0.994,{"256K": 2048}
11,pr-lp1,16,262144,32,1,2097152,9,150.3,221.8,15.202,9.969,4392.7,6306.7,0,0,7671954472,9074112397,236.0,256,256,12465.3,2304,218.75,252,255,9059.8,2048,0.996,{"256K": 2048}
12,pr-lp4,16,262144,32,4,2097152,9,150.1,215.0,15.216,10.078,4391.7,6273.9,0,0,7859935262,9169015902,235.71,256,256,12458.1,2304,224.05,252,255,9334.1,2048,0.997,{"256K": 2048}
13,pre,16,2097152,1,0,2097152,2,3304.5,2792.1,0.576,0.597,3270.0,2768.9,0,0,5523877736,7505078850,1.01,1,2,248.9,16,1.0,1,1,627.8,8,0.829,{"2048K": 8}
