representation,streams,command_bytes,dmabuf,replica,status,intent_payload_bytes,extent_bytes,host_retained_bytes,ops_per_phase,store_failures,load_failures,engine_store_MBps,engine_load_MBps,timed_logical_bytes_per_phase,dev_write_cmds,dev_write_bytes,dev_write_sizes,dev_read_cmds,dev_read_bytes,dev_read_sizes,dev_read_lat_p50_us,dev_read_lat_p99_us,dev_write_lat_p99_us,dev_bad_status,dev_unpaired,capture_drops,write_bytes_vs_logical,read_bytes_vs_logical
bf16_kv,1,1048576,udmabuf,1,replay_status=0,33554432,33558528,0,32,0,0,7390.9,10756.3,805306368,792,805404672,4096x24 1048576x768,768,805306368,1048576x768,2053.4,5420.1,5106.8,0,0,0,1.0001,1.0000
bf16_kv,1,1048576,udmabuf,2,replay_status=0,33554432,33558528,0,32,0,0,7266.3,11318.3,805306368,792,805404672,4096x24 1048576x768,768,805306368,1048576x768,2061.3,4673.4,5086.1,0,0,0,1.0001,1.0000
bf16_kv,1,1048576,udmabuf,3,replay_status=0,33554432,33558528,0,32,0,0,7357.2,11168.0,805306368,792,805404672,4096x24 1048576x768,768,805306368,1048576x768,2114.6,5095.4,4849.3,0,0,0,1.0001,1.0000
bf16_kv,1,131072,none,1,replay_status=0,33554432,33558528,0,32,0,0,1763.7,2166.2,805306368,6168,805404672,4096x24 131072x6144,6144,805306368,131072x6144,88.9,223.3,539.8,0,0,0,1.0001,1.0000
bf16_kv,1,131072,none,2,replay_status=0,33554432,33558528,0,32,0,0,1760.4,2223.0,805306368,6168,805404672,4096x24 131072x6144,6144,805306368,131072x6144,89.6,248.9,397.3,0,0,0,1.0001,1.0000
bf16_kv,1,131072,none,3,replay_status=0,33554432,33558528,0,32,0,0,1768.2,2239.6,805306368,6168,805404672,4096x24 131072x6144,6144,805306368,131072x6144,89.3,235.2,498.8,0,0,0,1.0001,1.0000
bf16_kv,1,2097152,udmabuf,1,replay_status=0,33554432,33558528,0,32,0,0,7307.8,11249.0,805306368,408,805404672,4096x24 2097152x384,384,805306368,2097152x384,2406.1,5263.6,5101.6,0,0,0,1.0001,1.0000
bf16_kv,1,2097152,udmabuf,2,replay_status=0,33554432,33558528,0,32,0,0,7406.9,11277.2,805306368,408,805404672,4096x24 2097152x384,384,805306368,2097152x384,2449.8,5966.0,5019.0,0,0,0,1.0001,1.0000
bf16_kv,1,2097152,udmabuf,3,replay_status=0,33554432,33558528,0,32,0,0,7329.2,11643.0,805306368,408,805404672,4096x24 2097152x384,384,805306368,2097152x384,2423.8,4697.7,5154.5,0,0,0,1.0001,1.0000
bf16_kv,1,524288,udmabuf,1,replay_status=0,33554432,33558528,0,32,0,0,7290.8,11063.6,805306368,1560,805404672,4096x24 524288x1536,1536,805306368,524288x1536,1692.7,3882.4,4723.5,0,0,0,1.0001,1.0000
bf16_kv,1,524288,udmabuf,2,replay_status=0,33554432,33558528,0,32,0,0,7248.2,11211.8,805306368,1560,805404672,4096x24 524288x1536,1536,805306368,524288x1536,1722.3,2963.1,4740.1,0,0,0,1.0001,1.0000
bf16_kv,1,524288,udmabuf,3,replay_status=0,33554432,33558528,0,32,0,0,7499.5,10979.8,805306368,1560,805404672,4096x24 524288x1536,1536,805306368,524288x1536,1726.6,3696.2,4950.2,0,0,0,1.0001,1.0000
bf16_kv,4,1048576,udmabuf,1,replay_status=0,33554432,33558528,0,128,0,0,6914.8,13912.5,3221225472,3168,3221618688,4096x96 1048576x3072,3072,3221225472,1048576x3072,7927.4,10174.7,20103.7,0,0,0,1.0001,1.0000
bf16_kv,4,1048576,udmabuf,2,replay_status=0,33554432,33558528,0,128,0,0,6924.2,13984.2,3221225472,3168,3221618688,4096x96 1048576x3072,3072,3221225472,1048576x3072,7969.2,9992.9,19852.3,0,0,0,1.0001,1.0000
bf16_kv,4,1048576,udmabuf,3,replay_status=0,33554432,33558528,0,128,0,0,6941.7,14079.4,3221225472,3168,3221618688,4096x96 1048576x3072,3072,3221225472,1048576x3072,7956.2,11009.2,19853.3,0,0,0,1.0001,1.0000
bf16_kv,4,131072,none,1,replay_status=0,33554432,33558528,0,128,0,0,5921.0,2755.1,3221225472,24672,3221618688,4096x96 131072x24576,24576,3221225472,131072x24576,90.7,222.4,2887.2,0,0,0,1.0001,1.0000
bf16_kv,4,131072,none,2,replay_status=0,33554432,33558528,0,128,0,0,5892.8,2741.3,3221225472,24672,3221618688,4096x96 131072x24576,24576,3221225472,131072x24576,90.5,240.2,2974.5,0,0,0,1.0001,1.0000
bf16_kv,4,131072,none,3,replay_status=0,33554432,33558528,0,128,0,0,5838.0,2744.4,3221225472,24672,3221618688,4096x96 131072x24576,24576,3221225472,131072x24576,90.5,232.7,2912.9,0,0,0,1.0001,1.0000
bf16_kv,4,2097152,udmabuf,1,replay_status=0,33554432,33558528,0,128,0,0,6924.2,14040.1,3221225472,1632,3221618688,4096x96 2097152x1536,1536,3221225472,2097152x1536,8746.5,9955.2,19916.4,0,0,0,1.0001,1.0000
bf16_kv,4,2097152,udmabuf,2,replay_status=0,33554432,33558528,0,128,0,0,6910.8,14018.0,3221225472,1632,3221618688,4096x96 2097152x1536,1536,3221225472,2097152x1536,8691.7,11564.6,19920.4,0,0,0,1.0001,1.0000
bf16_kv,4,2097152,udmabuf,3,replay_status=0,33554432,33558528,0,128,0,0,6932.0,13985.3,3221225472,1632,3221618688,4096x96 2097152x1536,1536,3221225472,2097152x1536,8720.0,10172.8,19995.8,0,0,0,1.0001,1.0000
bf16_kv,4,524288,udmabuf,1,replay_status=0,33554432,33558528,0,128,0,0,6916.6,14041.3,3221225472,6240,3221618688,4096x96 524288x6144,6144,3221225472,524288x6144,7573.1,9478.0,19677.9,0,0,0,1.0001,1.0000
bf16_kv,4,524288,udmabuf,2,replay_status=0,33554432,33558528,0,128,0,0,6941.3,14017.1,3221225472,6240,3221618688,4096x96 524288x6144,6144,3221225472,524288x6144,7514.2,10268.0,19564.0,0,0,0,1.0001,1.0000
bf16_kv,4,524288,udmabuf,3,replay_status=0,33554432,33558528,0,128,0,0,6922.3,13995.4,3221225472,6240,3221618688,4096x96 524288x6144,6144,3221225472,524288x6144,7419.1,9382.7,19486.8,0,0,0,1.0001,1.0000
bf16_kv,8,1048576,udmabuf,1,replay_status=0,33554432,33558528,0,256,0,0,6873.3,14231.4,6442450944,6336,6443237376,4096x192 1048576x6144,6144,6442450944,1048576x6144,17143.6,21355.0,39630.2,0,0,0,1.0001,1.0000
bf16_kv,8,1048576,udmabuf,2,replay_status=0,33554432,33558528,0,256,0,0,6878.1,14268.1,6442450944,6336,6443237376,4096x192 1048576x6144,6144,6442450944,1048576x6144,17125.2,19035.4,39500.9,0,0,0,1.0001,1.0000
bf16_kv,8,1048576,udmabuf,3,replay_status=0,33554432,33558528,0,256,0,0,6877.1,14238.3,6442450944,6336,6443237376,4096x192 1048576x6144,6144,6442450944,1048576x6144,17270.6,19467.7,39516.9,0,0,0,1.0001,1.0000
bf16_kv,8,131072,none,1,replay_status=0,33554432,33558528,0,256,0,0,6754.5,4861.3,6442450944,49344,6443237376,4096x192 131072x49152,49152,6442450944,131072x49152,373.4,1147.9,36329.3,0,0,0,1.0001,1.0000
bf16_kv,8,131072,none,2,replay_status=0,33554432,33558528,0,256,0,0,6766.7,5050.1,6442450944,49344,6443237376,4096x192 131072x49152,49152,6442450944,131072x49152,502.0,1260.6,36386.8,0,0,0,1.0001,1.0000
bf16_kv,8,131072,none,3,replay_status=0,33554432,33558528,0,256,0,0,6756.3,4894.1,6442450944,49344,6443237376,4096x192 131072x49152,49152,6442450944,131072x49152,472.8,1414.1,36151.8,0,0,0,1.0001,1.0000
bf16_kv,8,2097152,udmabuf,1,replay_status=0,33554432,33558528,0,256,0,0,6872.9,14259.6,6442450944,3264,6443237376,4096x192 2097152x3072,3072,6442450944,2097152x3072,17775.8,20872.1,40232.3,0,0,0,1.0001,1.0000
bf16_kv,8,2097152,udmabuf,2,replay_status=0,33554432,33558528,0,256,0,0,6869.2,14252.9,6442450944,3264,6443237376,4096x192 2097152x3072,3072,6442450944,2097152x3072,17841.5,21619.7,40159.6,0,0,0,1.0001,1.0000
bf16_kv,8,2097152,udmabuf,3,replay_status=0,33554432,33558528,0,256,0,0,6883.7,14231.6,6442450944,3264,6443237376,4096x192 2097152x3072,3072,6442450944,2097152x3072,17894.5,18929.1,40492.5,0,0,0,1.0001,1.0000
