representation,streams,command_bytes,dmabuf,replica,status,intent_payload_bytes,extent_bytes,host_retained_bytes,ops_per_phase,store_failures,load_failures,engine_store_MBps,engine_load_MBps,timed_logical_bytes_per_phase,dev_write_cmds,dev_write_bytes,dev_write_sizes,dev_read_cmds,dev_read_bytes,dev_read_sizes,dev_read_lat_p50_us,dev_read_lat_p99_us,dev_write_lat_p99_us,dev_bad_status,dev_unpaired,capture_drops,write_bytes_vs_logical,read_bytes_vs_logical
bf16_kv,1,1048576,udmabuf,1,replay_status=0,33554432,33558528,0,32,0,0,7329.7,11118.0,805306368,792,805404672,4096x24 1048576x768,768,805306368,1048576x768,2334.5,4905.2,5016.9,0,0,0,1.0001,1.0000
bf16_kv,1,1048576,udmabuf,2,replay_status=0,33554432,33558528,0,32,0,0,7468.4,11562.1,805306368,792,805404672,4096x24 1048576x768,768,805306368,1048576x768,2107.0,4138.6,4853.3,0,0,0,1.0001,1.0000
bf16_kv,1,1048576,udmabuf,3,replay_status=0,33554432,33558528,0,32,0,0,7338.3,11185.3,805306368,792,805404672,4096x24 1048576x768,768,805306368,1048576x768,2102.1,4874.7,4923.8,0,0,0,1.0001,1.0000
bf16_kv,1,131072,none,1,replay_status=0,33554432,33558528,0,32,0,0,1761.8,2175.7,805306368,6168,805404672,4096x24 131072x6144,6144,805306368,131072x6144,89.2,234.4,512.7,0,0,0,1.0001,1.0000
bf16_kv,1,131072,none,2,replay_status=0,33554432,33558528,0,32,0,0,1843.7,2505.6,805306368,6168,805404672,4096x24 131072x6144,6144,805306368,131072x6144,89.6,263.0,584.3,0,0,0,1.0001,1.0000
bf16_kv,1,131072,none,3,replay_status=0,33554432,33558528,0,32,0,0,1746.3,2168.2,805306368,6168,805404672,4096x24 131072x6144,6144,805306368,131072x6144,89.2,231.2,551.8,0,0,0,1.0001,1.0000
bf16_kv,1,2097152,udmabuf,1,replay_status=0,33554432,33558528,0,32,0,0,7367.0,11339.8,805306368,408,805404672,4096x24 2097152x384,384,805306368,2097152x384,2469.9,6080.4,5037.8,0,0,0,1.0001,1.0000
bf16_kv,1,2097152,udmabuf,2,replay_status=0,33554432,33558528,0,32,0,0,7370.9,11641.9,805306368,408,805404672,4096x24 2097152x384,384,805306368,2097152x384,2424.8,5141.0,5083.0,0,0,0,1.0001,1.0000
bf16_kv,1,2097152,udmabuf,3,replay_status=0,33554432,33558528,0,32,0,0,7302.4,10988.6,805306368,408,805404672,4096x24 2097152x384,384,805306368,2097152x384,2418.9,6249.6,5388.7,0,0,0,1.0001,1.0000
bf16_kv,1,524288,udmabuf,1,replay_status=0,33554432,33558528,0,32,0,0,7276.8,11167.1,805306368,1560,805404672,4096x24 524288x1536,1536,805306368,524288x1536,1653.9,3239.6,4685.1,0,0,0,1.0001,1.0000
