model,chunk_tok,mdts_bytes,obj_bytes,store_cmds,store_MBps,load_MBps,store_failed,load_failed
Llama-3.2-1B-Instruct,16,131072,524288,5,2134.3,424.7,0,0
Llama-3.2-1B-Instruct,16,262144,524288,3,2283.0,518.2,0,0
Llama-3.2-1B-Instruct,16,524288,524288,2,2004.4,553.0,0,0
Llama-3.2-1B-Instruct,16,1048576,524288,2,2270.6,459.7,0,0
Llama-3.2-1B-Instruct,16,2097152,524288,2,2078.2,552.5,0,0
Llama-3.2-1B-Instruct,64,131072,2097152,17,3246.3,1071.1,0,0
Llama-3.2-1B-Instruct,64,262144,2097152,9,3464.2,946.4,0,0
Llama-3.2-1B-Instruct,64,524288,2097152,5,3528.6,1250.1,0,0
Llama-3.2-1B-Instruct,64,1048576,2097152,3,3397.9,1606.6,0,0
Llama-3.2-1B-Instruct,64,2097152,2097152,2,3479.2,1214.3,0,0
Llama-3.2-1B-Instruct,256,131072,8388608,65,4049.0,1366.9,0,0
Llama-3.2-1B-Instruct,256,262144,8388608,33,4125.0,2001.6,0,0
Llama-3.2-1B-Instruct,256,524288,8388608,17,4156.2,1895.6,0,0
Llama-3.2-1B-Instruct,256,1048576,8388608,9,4096.1,2400.5,0,0
Llama-3.2-1B-Instruct,256,2097152,8388608,5,4114.3,2978.2,0,0
Llama-3.2-1B-Instruct,512,131072,16777216,129,4199.0,1432.2,0,0
Llama-3.2-1B-Instruct,512,262144,16777216,65,4199.3,1899.6,0,0
Llama-3.2-1B-Instruct,512,524288,16777216,33,4214.4,2339.3,0,0
Llama-3.2-1B-Instruct,512,1048576,16777216,17,4247.6,2422.8,0,0
Llama-3.2-1B-Instruct,512,2097152,16777216,9,4223.9,3478.6,0,0
Llama-3.1-8B-Instruct,16,131072,2097152,17,3476.2,926.1,0,0
Llama-3.1-8B-Instruct,16,262144,2097152,9,3452.7,1047.0,0,0
Llama-3.1-8B-Instruct,16,524288,2097152,5,3471.1,1201.2,0,0
Llama-3.1-8B-Instruct,16,1048576,2097152,3,3502.7,1625.1,0,0
Llama-3.1-8B-Instruct,16,2097152,2097152,2,3315.1,1425.9,0,0
Llama-3.1-8B-Instruct,64,131072,8388608,65,4088.1,1409.6,0,0
Llama-3.1-8B-Instruct,64,262144,8388608,33,4116.7,1878.2,0,0
Llama-3.1-8B-Instruct,64,524288,8388608,17,4123.6,1967.7,0,0
Llama-3.1-8B-Instruct,64,1048576,8388608,9,4142.0,2601.0,0,0
Llama-3.1-8B-Instruct,64,2097152,8388608,5,4121.0,3258.4,0,0
Llama-3.1-8B-Instruct,256,131072,33554432,257,4191.1,1372.5,0,0
Llama-3.1-8B-Instruct,256,262144,33554432,129,4251.4,1973.9,0,0
Llama-3.1-8B-Instruct,256,524288,33554432,65,4282.9,2561.2,0,0
